Examen 1 15.0%;Examen 2 Práctico 5.0%;Examen 2 Teórico 10.0%;Total: Exámenes 30.0%;Tarea 1 3.75%;Tarea 2 Entrega 0.0%;Tarea 2 Evaluación 3.75%;Total: Tareas 7.5%;Proyecto Individual Docu 3.75%;Proyecto Individual Funcional 11.25%;Proyecto Individual Viernes 0.0%;Proyecto Individual Lunes 0.0%;Proyecto Grupal 1 Funcional 13.12%;Proyecto Grupal 1 Docu 4.38%;Proyecto Grupal 2 Funcional 13.12%;Proyecto Grupal 2 Docu 4.38%;Total: Proyectos 50.0%;Taller 1;Taller 2;Taller 3;Taller 4;Taller 5;Total: Taller 7.5%;Exposición;Total: Investigación 5.0%;Total: ;Final
 53.3; 13.1; 58.3; 14.48; 76.0; ; 100.0; 6.60; 77.0; 100.0; ; ; 100.0; 100.0; 100.0; 83.3; 48.41; 80.0; 100.0; 100.0; 0.0; 100.0; 5.70; 100.0; 5.00; 80.2; 80.0
 12.6; ; ; 1.89; 0.0; ; ; 0.00; ; 0.0; ; ; ; ; ; ; 0.00; 40.0; 0.0; 0.0; 0.0; 0.0; 0.60; ; 0.00; 2.5; 5.0
 49.6; 100.0; 68.3; 26.71; 100.0; ; ; 3.75; 100.0; 100.0; ; ; 45.0; 100.0; 79.0; 83.3; 39.30; 100.0; 100.0; 100.0; 100.0; 0.0; 6.00; 100.0; 5.00; 80.8; 80.0
 ; ; ;0; 0.0; ; 0.0; 0.00; ; ; ; ; ; ; ; ;0; ; 0.0; 0.0; 0.0; 0.0; 0.00; ; 0.00; 0.0; 0.0
 61.6; ; 58.3; 15.07; 66.7; ; 100.0; 6.25; 100.0; 100.0; ; ; 100.0; 100.0; 100.0; 83.3; 49.27; 100.0; 100.0; 36.7; 100.0; 100.0; 6.55; 100.0; 5.00; 82.1; 80.0
 55.1; 72.1; 48.3; 16.70; 24.0; ; 93.7; 4.41; 92.3; 42.5; ; ; 60.0; 100.0; 90.0; 90.0; 36.24; 100.0; 100.0; 70.8; 100.0; 100.0; 7.06; 100.0; 5.00; 69.4; 70.0
 38.5; 76.4; 78.3; 23.20; 48.0; ; 100.0; 5.55; 100.0; 45.3; ; ; 60.0; 100.0; 91.0; 84.0; 36.72; 100.0; 92.3; 100.0; 66.7; 70.0; 6.44; 94.0; 4.70; 76.6; 75.0
 57.0; 72.1; ; 12.16; 0.0; ; 100.0; 3.75; 100.0; 100.0; ; ; 60.0; 100.0; 91.0; 84.0; 42.87; 100.0; 80.0; 100.0; 100.0; 100.0; 7.20; 94.0; 4.70; 70.7; 70.0
 52.4; 13.1; 55.0; 14.02; 66.7; ; 100.0; 6.25; 100.0; 80.0; ; ; 100.0; 100.0; 100.0; 83.3; 47.02; 100.0; 100.0; 100.0; 66.7; 100.0; 7.00; 100.0; 5.00; 79.3; 80.0
 40.3; 76.4; 58.3; 15.70; 48.0; ; 100.0; 5.55; 92.3; 79.3; ; ; 62.0; 100.0; 63.0; 96.7; 37.40; 80.0; 0.0; 100.0; 100.0; 0.0; 4.20; 94.0; 4.70; 67.6; 70.0
 48.7; ; 55.0; 12.81; 66.7; ; 100.0; 6.25; 84.7; 76.7; ; ; 100.0; 100.0; 100.0; 83.3; 46.07; 100.0; 95.3; 100.0; 100.0; 100.0; 7.43; 100.0; 5.00; 77.6; 80.0
 60.7; 72.1; 61.7; 18.88; 48.0; 100.0; 100.0; 5.55; 92.3; 70.8; ; ; 60.0; 100.0; 90.0; 90.0; 39.43; 100.0; 68.7; 93.3; 100.0; 60.0; 6.33; 100.0; 5.00; 75.2; 75.0
 32.9; 80.7; 85.0; 17.47; 37.3; ; 100.0; 5.15; 100.0; 54.0; ; ; 60.0; 100.0; 91.0; 84.0; 37.70; 100.0; 92.3; 100.0; 100.0; 100.0; 7.38; 94.0; 4.70; 72.4; 70.0
 57.0; 95.7; 58.3; 19.17; 37.3; 100.0; 100.0; 5.15; 92.0; 100.0; ; ; 60.0; 100.0; 90.0; 100.0; 43.14; 60.0; 87.3; 93.3; 100.0; 70.0; 6.16; 100.0; 5.00; 78.6; 80.0
 52.4; ; 5.0; 8.36; 0.0; ; 100.0; 3.75; ; 0.0; ; ; 62.0; 100.0; ; ; 12.51; 0.0; 81.7; 0.0; 0.0; 0.0; 1.23; ; 0.00; 25.9; 25.0
 38.5; 87.1; 91.7; 19.30; 33.3; ; 87.3; 4.52; 46.0; 34.0; ; ; 60.0; 100.0; 90.0; 100.0; 33.99; 80.0; 38.3; 92.5; 66.7; 60.0; 5.06; 100.0; 5.00; 67.9; 70.0
 29.2; 4.3; 8.3; 5.43; 14.7; ; 81.0; 3.59; 15.3; 50.0; ; ; 60.0; 100.0; 90.0; 100.0; 34.64; 0.0; 9.7; 40.0; 0.0; 53.3; 1.55; 100.0; 5.00; 50.2; 50.0
 53.3; 100.0; 68.3; 19.83; 48.0; ; 100.0; 5.55; 100.0; 48.2; ; ; 45.0; 100.0; 79.0; 83.3; 33.47; 40.0; 70.0; 100.0; 0.0; 80.0; 4.35; 100.0; 5.00; 68.2; 70.0
 66.3; 76.4; 68.3; 20.60; 33.3; ; 100.0; 5.00; 100.0; 97.0; ; ; 60.0; 100.0; 90.0; 90.0; 42.66; 100.0; 92.3; 100.0; 66.7; 100.0; 6.89; 100.0; 5.00; 80.2; 80.0
 69.1; 95.7; 65.0; 21.65; 52.0; ; 100.0; 5.70; 100.0; 100.0; ; ; 60.0; 100.0; 90.0; 100.0; 43.44; 100.0; 100.0; 100.0; 73.3; 100.0; 7.10; 100.0; 5.00; 82.9; 85.0
 59.8; 80.7; 58.3; 18.84; 85.3; ; 100.0; 6.95; 100.0; 70.8; ; ; 54.0; 100.0; 97.0; 72.7; 39.09; 60.0; 87.7; 100.0; 100.0; 100.0; 6.72; 94.0; 4.70; 76.3; 75.0
 7.0; ; ; 1.05; 0.0; ; ; 0.00; ; 0.0; ; ; ; ; ; ; 0.00; 60.0; 0.0; 0.0; 0.0; 0.0; 0.90; ; 0.00; 2.0; 0.0
 44.0; 72.1; 61.7; 16.38; 18.7; ; ; 0.70; 8.0; 65.0; ; ; 62.0; 100.0; 63.0; 96.7; 32.63; 60.0; 24.0; 30.0; 66.7; 60.0; 3.61; 94.0; 4.70; 58.0; 60.0
