Examen 1 15.0%;Examen 2 Práctico 5.0%;Examen 2 Teórico 10.0%;Examen 2 Práctico Ext 0.25%;Total: Exámenes 30.25%;Tarea 1;Tarea 2;Total: Tareas 7.5%;Proyecto Indiviual Docu 3.75%;Proyecto Individual Funcional 11.25%;Proyecto Individual Entrega V 0.0%;Proyecto Individual Entrega M 0.0%;Proyecto Grupal 1 Funcional 13.12%;Proyecto Grupal 1 Docu 4.38%;Proyecto Grupal 2 Funcional 13.12%;Proyecto Grupal 2 Docu 4.38%;Total: Proyectos 50.0%;Entrega;Total: Investigación 5.0%;Taller 1;Taller 2;Taller 3;Taller 4;Taller 5;Total: Talleres 7.5%;Resumen 1;Resumen 2;Resumen 3;Resumen 4;Total: Extra 2.0%;Resumen;Total: Extra 5 noviembre 1.0%;Total: ;Final
 74.4; 83.3; 81.0; 100.0; 23.68; 100.0; 93.7; 7.26; 100.0; 100.0; ; ; 100.0; 92.3; 100.0; 100.0; 49.66; 100.0; 5.00; 100.0; 100.0; 100.0; 93.3; 100.0; 7.40; 100.0; 100.0; 100.0; 100.0; 2.00; 100.0; 1.00; 96.00; 95.0
 41.0; 76.7; 52.4; 80.0; 15.43; ; 62.0; 2.33; 69.3; 43.0; ; ; 60.0; 84.7; 81.0; 100.0; 34.03; 100.0; 5.00; 81.7; 37.7; 92.5; 93.3; 86.7; 5.88; 80.0; 100.0; 100.0; 80.0; 1.80; 50.0; 0.50; 64.97; 65.0
 34.0; 75.0; 57.2; 0.0; 14.57; 53.3; 92.0; 5.45; 100.0; 50.0; ; ; 100.0; 100.0; 100.0; 100.0; 44.38; 100.0; 5.00; 100.0; 100.0; 92.5; 100.0; 90.0; 7.24; 100.0; 100.0; 100.0; 100.0; 2.00; 100.0; 1.00; 79.64; 80.0
 16.7; 0.0; 0.0; 0.0; 2.51; 0.0; 74.7; 2.80; 30.7; 38.0; ; ; 0.0; 0.0; ; ; 5.43; ; 0.00; 10.0; 53.3; ; ; ; 0.95; ; ; ; ; 0.00; ; 0.00; 11.69; 10.0
 9.0; 0.0; 0.0; 0.0; 1.35; 38.7; 93.7; 4.97; 0.0; 20.0; ; ; 0.0; 0.0; ; ; 2.25; ; 0.00; 81.7; ; ; ; ; 1.23; ; ; ; ; 0.00; 100.0; 1.00; 10.80; 10.0
 77.6; 100.0; 69.0; 100.0; 23.79; 90.7; 100.0; 7.15; 100.0; 100.0; ; ; 100.0; 92.3; 100.0; 100.0; 49.66; 100.0; 5.00; 100.0; 100.0; 100.0; 100.0; 100.0; 7.50; 100.0; 100.0; 100.0; 100.0; 2.00; 100.0; 1.00; 96.10; 95.0
 28.9; 86.7; 52.4; 100.0; 14.16; ; 87.3; 3.27; 100.0; 67.0; ; ; 60.0; 84.7; 81.0; 100.0; 37.88; 100.0; 5.00; 95.0; 95.3; 85.0; 100.0; 100.0; 7.13; 100.0; 100.0; 100.0; 100.0; 2.00; 100.0; 1.00; 70.44; 70.0
 61.5; 83.3; 59.5; 100.0; 19.59; 100.0; 93.7; 7.26; 92.3; 98.0; ; ; 100.0; 92.3; 100.0; 100.0; 49.15; 100.0; 5.00; 100.0; 100.0; 100.0; 100.0; 100.0; 7.50; 100.0; 100.0; 100.0; 100.0; 2.00; 100.0; 1.00; 91.50; 90.0
 19.2; 76.7; 52.4; 80.0; 12.16; ; 43.0; 1.61; 53.7; 48.0; ; ; 60.0; 84.7; 81.0; 100.0; 34.00; 100.0; 5.00; 63.3; 58.0; ; ; ; 1.82; ; ; ; ; 0.00; ; 0.00; 54.59; 55.0
 73.7; 100.0; 40.5; 100.0; 20.36; 100.0; 100.0; 7.50; 100.0; 95.0; ; ; 100.0; 100.0; 100.0; 100.0; 49.44; 100.0; 5.00; 100.0; 100.0; 100.0; 100.0; 100.0; 7.50; 100.0; 100.0; 100.0; 100.0; 2.00; ; 0.00; 91.80; 90.0
