Examen parcial 1 15%;Examen parcial 2 teórico 7.5%;Examen parcial 2 práctico 7.50%;Examen parcial 2 práctico repo 0.00%;Examen parcial 2 prác rep eval 0.00%;Total: Exámenes 30%;Tarea 1 3.75%;Tarea 2 0.00%;Tarea 2 evaluación 3.75%;Total: Tareas 7.5%;Proyecto Individual Docu 3.75%;Proyecto Individual Funcional 11.25%;Proyecto Grupal 1 Funcional 0%;Proyecto Grupal 1 Docu 0%;Proyecto Grupal 2 Funcional 11.37%;Proyecto Grupal 2 Docu 4.38%;Proyecto Grupal 2 Anteproyecto 1.75%;Proyecto Grupal 1 Func Eval 13.12%;Proyecto Grupal 1 Docu Eval 4.38%;Total: Proyectos 50%;Entrega;Total: Investigación 5%;Taller 1 1.87%;Taller 2 1.87%;Taller 3 1.88%;Taller 4 1.88%;Taller optativo 2.50%;Total: Talleres 10%;Charla 1 Simics 0.5%;Charla 2 Ronald 0.5%;Taller Simics 2%;Extra proyecto 1.75%;Total: Extra 4.75%;Total: ;Final
 86.5; 94.4; 98.3; ; ; 27.43; 100.0; ; 100.0; 7.50; 100.0; 100.0; 100.0; 100.0; 80.0; 100.0; 94.7; 100.0; 100.0; 47.63; 100.0; 5.00; 100.0; 95.0; 100.0; 100.0; ; 7.41; ; ; ; ;0; 94.97; 95.0
 53.3; 70.4; 98.3; ; ; 20.65; 100.0; ; 96.7; 7.38; 100.0; 98.0; 100.0; 100.0; 80.0; 100.0; 94.7; 100.0; 100.0; 47.41; 100.0; 5.00; 100.0; 95.0; 100.0; 100.0; ; 7.41; ; ; ; ;0; 87.85; 90.0
 55.5; 70.4; 100.0; ; ; 21.11; 100.0; 100.0; 100.0; 7.50; 91.7; 85.0; 70.0; 92.3; 88.9; 100.0; 94.7; 70.0; 92.3; 42.37; 99.0; 4.95; 100.0; 100.0; 100.0; 100.0; ; 7.50; 100.0; 100.0; ; ; 1.00; 84.43; 85.0
 27.3; 31.5; 88.3; ; ; 13.08; 33.3; ; 93.3; 4.75; 91.7; 47.5; 71.7; 100.0; 66.7; 94.3; 100.0; 71.7; 100.0; 36.03; 100.0; 5.00; 44.0; 14.3; 100.0; 100.0; 100.0; 7.35; ; 100.0; ; 70.0; 1.73; 67.94; 70.0
 5.0; ; ; ; ; 0.75; 80.0; ; 100.0; 6.75; ; 14.0; 55.0; ; ; ; ; ; ; 1.58; ; 0.00; 95.0; 0.0; 0.0; 0.0; ; 1.78; ; ; ; ;0; 10.86; 10.0
 56.1; 46.3; 81.7; ; ; 18.02; 70.0; ; 22.5; 3.47; 100.0; 27.1; 55.0; 100.0; 44.4; 100.0; 94.7; 55.0; 100.0; 29.48; 100.0; 5.00; 100.0; 95.3; 100.0; 100.0; 100.0; 9.91; ; 100.0; ; ; 0.50; 66.38; 65.0
 34.8; 60.0; 96.7; ; ; 16.97; 13.3; ; 100.0; 4.25; 100.0; 23.0; 55.0; 100.0; 44.4; 100.0; 94.7; 55.0; 100.0; 29.02; 100.0; 5.00; 45.0; 76.0; 77.5; 0.0; ; 3.72; 100.0; 100.0; ; ; 1.00; 59.96; 60.0
 41.6; 52.0; 50.0; 50.0; 50.0; 13.89; 100.0; ; 78.3; 6.69; 83.3; 85.0; 70.0; 92.3; 88.9; 100.0; 94.7; 70.0; 92.3; 42.06; 99.0; 4.95; 100.0; 92.3; 93.3; 66.7; ; 6.60; ; ; ; ;0; 74.19; 75.0
 5.0; ; ; ; ; 0.75; 0.0; ; 0.0; 0.00; ; ; ; ; ; ; ; ; ;0; ; 0.00; 0.0; 0.0; 0.0; 0.0; ; 0.00; ; ; ; ;0; 0.75; 0.0
 36.4; 53.7; 81.7; ; ; 15.62; 0.0; ; 22.5; 0.84; 100.0; 32.5; 55.0; 100.0; 44.4; 100.0; 94.7; 55.0; 100.0; 30.09; 100.0; 5.00; 90.0; 100.0; 100.0; 100.0; 100.0; 9.81; 100.0; ; ; ; 0.50; 61.86; 60.0
